relevance_score,title,url,hn_score,categories,hn_link,scan_date
3,Show HN: Dub Any Podcast in Your Language Using Local Models,https://github.com/cezarc1/podcast_dub,1,product,https://news.ycombinator.com/item?id=49062521,2026-07-26 17:58
3,Show HN: LX Coreutils – pipeable tools enhanced by small local / cheap LLM calls,https://github.com/BrunkenClaas/lx,1,product,https://news.ycombinator.com/item?id=49062416,2026-07-26 17:58
